WATERSHED,run.year,run.week,SIZE.CLASS,PASSAGE,tot.prod,Year,Week.no
American River,2013,4,FL1 leq 41mm,170773,5688347,2013,4
American River,2013,4,FL2 42-72mm,0,5688347,2013,4
American River,2013,4,FL3 73-110mm,0,5688347,2013,4
American River,2013,5,FL1 leq 41mm,452390,5688347,2013,5
American River,2013,5,FL2 42-72mm,0,5688347,2013,5
American River,2013,5,FL3 73-110mm,0,5688347,2013,5
American River,2013,6,FL1 leq 41mm,516950,5688347,2013,6
American River,2013,6,FL2 42-72mm,0,5688347,2013,6
American River,2013,6,FL3 73-110mm,0,5688347,2013,6
American River,2013,7,FL1 leq 41mm,712762,5688347,2013,7
American River,2013,7,FL2 42-72mm,0,5688347,2013,7
American River,2013,7,FL3 73-110mm,0,5688347,2013,7
American River,2013,8,FL1 leq 41mm,1807577,5688347,2013,8
American River,2013,8,FL2 42-72mm,1041,5688347,2013,8
American River,2013,8,FL3 73-110mm,0,5688347,2013,8
American River,2013,9,FL1 leq 41mm,1007782,5688347,2013,9
American River,2013,9,FL2 42-72mm,951,5688347,2013,9
American River,2013,9,FL3 73-110mm,0,5688347,2013,9
American River,2013,10,FL1 leq 41mm,328754,5688347,2013,10
American River,2013,10,FL2 42-72mm,1608,5688347,2013,10
American River,2013,10,FL3 73-110mm,0,5688347,2013,10
American River,2013,11,FL1 leq 41mm,191073,5688347,2013,11
American River,2013,11,FL2 42-72mm,5378,5688347,2013,11
American River,2013,11,FL3 73-110mm,0,5688347,2013,11
American River,2013,12,FL1 leq 41mm,76572,5688347,2013,12
American River,2013,12,FL2 42-72mm,12573,5688347,2013,12
American River,2013,12,FL3 73-110mm,0,5688347,2013,12
American River,2013,13,FL1 leq 41mm,16126,5688347,2013,13
American River,2013,13,FL2 42-72mm,15088,5688347,2013,13
American River,2013,13,FL3 73-110mm,21,5688347,2013,13
American River,2013,14,FL1 leq 41mm,3552,5688347,2013,14
American River,2013,14,FL2 42-72mm,15902,5688347,2013,14
American River,2013,14,FL3 73-110mm,130,5688347,2013,14
American River,2013,15,FL1 leq 41mm,2959,5688347,2013,15
American River,2013,15,FL2 42-72mm,17131,5688347,2013,15
American River,2013,15,FL3 73-110mm,784,5688347,2013,15
American River,2013,16,FL1 leq 41mm,346,5688347,2013,16
American River,2013,16,FL2 42-72mm,73815,5688347,2013,16
American River,2013,16,FL3 73-110mm,14116,5688347,2013,16
American River,2013,17,FL1 leq 41mm,257,5688347,2013,17
American River,2013,17,FL2 42-72mm,114401,5688347,2013,17
American River,2013,17,FL3 73-110mm,42964,5688347,2013,17
American River,2013,18,FL1 leq 41mm,0,5688347,2013,18
American River,2013,18,FL2 42-72mm,20869,5688347,2013,18
American River,2013,18,FL3 73-110mm,11244,5688347,2013,18
American River,2013,19,FL1 leq 41mm,0,5688347,2013,19
American River,2013,19,FL2 42-72mm,10273,5688347,2013,19
American River,2013,19,FL3 73-110mm,7519,5688347,2013,19
American River,2013,20,FL1 leq 41mm,0,5688347,2013,20
American River,2013,20,FL2 42-72mm,9217,5688347,2013,20
American River,2013,20,FL3 73-110mm,5077,5688347,2013,20
American River,2013,21,FL1 leq 41mm,0,5688347,2013,21
American River,2013,21,FL2 42-72mm,10294,5688347,2013,21
American River,2013,21,FL3 73-110mm,4433,5688347,2013,21
American River,2013,22,FL1 leq 41mm,0,5688347,2013,22
American River,2013,22,FL2 42-72mm,3290,5688347,2013,22
American River,2013,22,FL3 73-110mm,2355,5688347,2013,22
American River,2014,2,FL1 leq 41mm,2212,1696728,2014,2
American River,2014,2,FL2 42-72mm,0,1696728,2014,2
American River,2014,2,FL3 73-110mm,0,1696728,2014,2
American River,2014,2,FL4 geq 111mm,0,1696728,2014,2
American River,2014,3,FL1 leq 41mm,13118,1696728,2014,3
American River,2014,3,FL2 42-72mm,0,1696728,2014,3
American River,2014,3,FL3 73-110mm,0,1696728,2014,3
American River,2014,3,FL4 geq 111mm,0,1696728,2014,3
American River,2014,4,FL1 leq 41mm,13166,1696728,2014,4
American River,2014,4,FL2 42-72mm,29,1696728,2014,4
American River,2014,4,FL3 73-110mm,0,1696728,2014,4
American River,2014,4,FL4 geq 111mm,0,1696728,2014,4
American River,2014,5,FL1 leq 41mm,39834,1696728,2014,5
American River,2014,5,FL2 42-72mm,412,1696728,2014,5
American River,2014,5,FL3 73-110mm,0,1696728,2014,5
American River,2014,5,FL4 geq 111mm,0,1696728,2014,5
American River,2014,6,FL1 leq 41mm,143218,1696728,2014,6
American River,2014,6,FL2 42-72mm,2024,1696728,2014,6
American River,2014,6,FL3 73-110mm,0,1696728,2014,6
American River,2014,6,FL4 geq 111mm,0,1696728,2014,6
American River,2014,7,FL1 leq 41mm,391741,1696728,2014,7
American River,2014,7,FL2 42-72mm,11023,1696728,2014,7
American River,2014,7,FL3 73-110mm,0,1696728,2014,7
American River,2014,7,FL4 geq 111mm,0,1696728,2014,7
American River,2014,8,FL1 leq 41mm,213982,1696728,2014,8
American River,2014,8,FL2 42-72mm,6650,1696728,2014,8
American River,2014,8,FL3 73-110mm,0,1696728,2014,8
American River,2014,8,FL4 geq 111mm,0,1696728,2014,8
American River,2014,9,FL1 leq 41mm,333692,1696728,2014,9
American River,2014,9,FL2 42-72mm,18155,1696728,2014,9
American River,2014,9,FL3 73-110mm,0,1696728,2014,9
American River,2014,9,FL4 geq 111mm,0,1696728,2014,9
American River,2014,10,FL1 leq 41mm,151702,1696728,2014,10
American River,2014,10,FL2 42-72mm,31728,1696728,2014,10
American River,2014,10,FL3 73-110mm,8,1696728,2014,10
American River,2014,10,FL4 geq 111mm,0,1696728,2014,10
American River,2014,11,FL1 leq 41mm,51276,1696728,2014,11
American River,2014,11,FL2 42-72mm,57408,1696728,2014,11
American River,2014,11,FL3 73-110mm,657,1696728,2014,11
American River,2014,11,FL4 geq 111mm,0,1696728,2014,11
American River,2014,12,FL1 leq 41mm,6837,1696728,2014,12
American River,2014,12,FL2 42-72mm,52490,1696728,2014,12
American River,2014,12,FL3 73-110mm,828,1696728,2014,12
American River,2014,12,FL4 geq 111mm,0,1696728,2014,12
American River,2014,13,FL1 leq 41mm,944,1696728,2014,13
American River,2014,13,FL2 42-72mm,44527,1696728,2014,13
American River,2014,13,FL3 73-110mm,2179,1696728,2014,13
American River,2014,13,FL4 geq 111mm,0,1696728,2014,13
American River,2014,14,FL1 leq 41mm,149,1696728,2014,14
American River,2014,14,FL2 42-72mm,27089,1696728,2014,14
American River,2014,14,FL3 73-110mm,4284,1696728,2014,14
American River,2014,14,FL4 geq 111mm,0,1696728,2014,14
American River,2014,15,FL1 leq 41mm,0,1696728,2014,15
American River,2014,15,FL2 42-72mm,27826,1696728,2014,15
American River,2014,15,FL3 73-110mm,9757,1696728,2014,15
American River,2014,15,FL4 geq 111mm,0,1696728,2014,15
American River,2014,16,FL1 leq 41mm,0,1696728,2014,16
American River,2014,16,FL2 42-72mm,12472,1696728,2014,16
American River,2014,16,FL3 73-110mm,7166,1696728,2014,16
American River,2014,16,FL4 geq 111mm,0,1696728,2014,16
American River,2014,17,FL1 leq 41mm,0,1696728,2014,17
American River,2014,17,FL2 42-72mm,3244,1696728,2014,17
American River,2014,17,FL3 73-110mm,3398,1696728,2014,17
American River,2014,17,FL4 geq 111mm,0,1696728,2014,17
American River,2014,18,FL1 leq 41mm,0,1696728,2014,18
American River,2014,18,FL2 42-72mm,1811,1696728,2014,18
American River,2014,18,FL3 73-110mm,2597,1696728,2014,18
American River,2014,18,FL4 geq 111mm,0,1696728,2014,18
American River,2014,19,FL1 leq 41mm,0,1696728,2014,19
American River,2014,19,FL2 42-72mm,642,1696728,2014,19
American River,2014,19,FL3 73-110mm,3101,1696728,2014,19
American River,2014,19,FL4 geq 111mm,0,1696728,2014,19
American River,2014,20,FL1 leq 41mm,0,1696728,2014,20
American River,2014,20,FL2 42-72mm,542,1696728,2014,20
American River,2014,20,FL3 73-110mm,2659,1696728,2014,20
American River,2014,20,FL4 geq 111mm,12,1696728,2014,20
American River,2014,21,FL1 leq 41mm,0,1696728,2014,21
American River,2014,21,FL2 42-72mm,8,1696728,2014,21
American River,2014,21,FL3 73-110mm,131,1696728,2014,21
American River,2014,21,FL4 geq 111mm,0,1696728,2014,21
American River,2015,2,FL1 leq 41mm,1744,1456627,2015,2
American River,2015,2,FL2 42-72mm,0,1456627,2015,2
American River,2015,2,FL3 73-110mm,0,1456627,2015,2
American River,2015,2,FL4 geq 111mm,0,1456627,2015,2
American River,2015,3,FL1 leq 41mm,9559,1456627,2015,3
American River,2015,3,FL2 42-72mm,0,1456627,2015,3
American River,2015,3,FL3 73-110mm,0,1456627,2015,3
American River,2015,3,FL4 geq 111mm,0,1456627,2015,3
American River,2015,4,FL1 leq 41mm,44097,1456627,2015,4
American River,2015,4,FL2 42-72mm,0,1456627,2015,4
American River,2015,4,FL3 73-110mm,0,1456627,2015,4
American River,2015,4,FL4 geq 111mm,0,1456627,2015,4
American River,2015,5,FL1 leq 41mm,188144,1456627,2015,5
American River,2015,5,FL2 42-72mm,11,1456627,2015,5
American River,2015,5,FL3 73-110mm,0,1456627,2015,5
American River,2015,5,FL4 geq 111mm,0,1456627,2015,5
American River,2015,6,FL1 leq 41mm,353347,1456627,2015,6
American River,2015,6,FL2 42-72mm,0,1456627,2015,6
American River,2015,6,FL3 73-110mm,0,1456627,2015,6
American River,2015,6,FL4 geq 111mm,0,1456627,2015,6
American River,2015,7,FL1 leq 41mm,187372,1456627,2015,7
American River,2015,7,FL2 42-72mm,98,1456627,2015,7
American River,2015,7,FL3 73-110mm,5,1456627,2015,7
American River,2015,7,FL4 geq 111mm,0,1456627,2015,7
American River,2015,8,FL1 leq 41mm,146843,1456627,2015,8
American River,2015,8,FL2 42-72mm,41,1456627,2015,8
American River,2015,8,FL3 73-110mm,0,1456627,2015,8
American River,2015,8,FL4 geq 111mm,0,1456627,2015,8
American River,2015,9,FL1 leq 41mm,333215,1456627,2015,9
American River,2015,9,FL2 42-72mm,943,1456627,2015,9
American River,2015,9,FL3 73-110mm,12,1456627,2015,9
American River,2015,9,FL4 geq 111mm,0,1456627,2015,9
American River,2015,10,FL1 leq 41mm,109383,1456627,2015,10
American River,2015,10,FL2 42-72mm,1044,1456627,2015,10
American River,2015,10,FL3 73-110mm,11,1456627,2015,10
American River,2015,10,FL4 geq 111mm,0,1456627,2015,10
American River,2015,11,FL1 leq 41mm,2953,1456627,2015,11
American River,2015,11,FL2 42-72mm,1430,1456627,2015,11
American River,2015,11,FL3 73-110mm,28,1456627,2015,11
American River,2015,11,FL4 geq 111mm,0,1456627,2015,11
American River,2015,12,FL1 leq 41mm,393,1456627,2015,12
American River,2015,12,FL2 42-72mm,4377,1456627,2015,12
American River,2015,12,FL3 73-110mm,213,1456627,2015,12
American River,2015,12,FL4 geq 111mm,0,1456627,2015,12
American River,2015,13,FL1 leq 41mm,163,1456627,2015,13
American River,2015,13,FL2 42-72mm,13899,1456627,2015,13
American River,2015,13,FL3 73-110mm,2618,1456627,2015,13
American River,2015,13,FL4 geq 111mm,0,1456627,2015,13
American River,2015,14,FL1 leq 41mm,144,1456627,2015,14
American River,2015,14,FL2 42-72mm,24095,1456627,2015,14
American River,2015,14,FL3 73-110mm,4927,1456627,2015,14
American River,2015,14,FL4 geq 111mm,0,1456627,2015,14
American River,2015,15,FL1 leq 41mm,8,1456627,2015,15
American River,2015,15,FL2 42-72mm,6396,1456627,2015,15
American River,2015,15,FL3 73-110mm,2549,1456627,2015,15
American River,2015,15,FL4 geq 111mm,0,1456627,2015,15
American River,2015,16,FL1 leq 41mm,0,1456627,2015,16
American River,2015,16,FL2 42-72mm,1683,1456627,2015,16
American River,2015,16,FL3 73-110mm,2863,1456627,2015,16
American River,2015,16,FL4 geq 111mm,0,1456627,2015,16
American River,2015,17,FL1 leq 41mm,0,1456627,2015,17
American River,2015,17,FL2 42-72mm,850,1456627,2015,17
American River,2015,17,FL3 73-110mm,4019,1456627,2015,17
American River,2015,17,FL4 geq 111mm,0,1456627,2015,17
American River,2015,18,FL1 leq 41mm,0,1456627,2015,18
American River,2015,18,FL2 42-72mm,872,1456627,2015,18
American River,2015,18,FL3 73-110mm,3492,1456627,2015,18
American River,2015,18,FL4 geq 111mm,0,1456627,2015,18
American River,2015,19,FL1 leq 41mm,0,1456627,2015,19
American River,2015,19,FL2 42-72mm,115,1456627,2015,19
American River,2015,19,FL3 73-110mm,1677,1456627,2015,19
American River,2015,19,FL4 geq 111mm,0,1456627,2015,19
American River,2015,20,FL1 leq 41mm,0,1456627,2015,20
American River,2015,20,FL2 42-72mm,6,1456627,2015,20
American River,2015,20,FL3 73-110mm,675,1456627,2015,20
American River,2015,20,FL4 geq 111mm,0,1456627,2015,20
American River,2015,21,FL1 leq 41mm,0,1456627,2015,21
American River,2015,21,FL2 42-72mm,17,1456627,2015,21
American River,2015,21,FL3 73-110mm,227,1456627,2015,21
American River,2015,21,FL4 geq 111mm,0,1456627,2015,21
American River,2015,22,FL1 leq 41mm,0,1456627,2015,22
American River,2015,22,FL2 42-72mm,0,1456627,2015,22
American River,2015,22,FL3 73-110mm,56,1456627,2015,22
American River,2015,22,FL4 geq 111mm,13,1456627,2015,22
Clear Creek,2000,1,FL1 leq 41mm,243,10837383,1999,48
Clear Creek,2000,1,FL2 42-72mm,0,10837383,1999,48
Clear Creek,2000,1,FL3 73-110mm,0,10837383,1999,48
Clear Creek,2000,2,FL1 leq 41mm,18807,10837383,1999,49
Clear Creek,2000,2,FL2 42-72mm,0,10837383,1999,49
Clear Creek,2000,2,FL3 73-110mm,0,10837383,1999,49
Clear Creek,2000,3,FL1 leq 41mm,38141,10837383,1999,50
Clear Creek,2000,3,FL2 42-72mm,0,10837383,1999,50
Clear Creek,2000,3,FL3 73-110mm,0,10837383,1999,50
Clear Creek,2000,4,FL1 leq 41mm,45140,10837383,1999,51
Clear Creek,2000,4,FL2 42-72mm,0,10837383,1999,51
Clear Creek,2000,4,FL3 73-110mm,0,10837383,1999,51
Clear Creek,2000,5,FL1 leq 41mm,142233,10837383,1999,52
Clear Creek,2000,5,FL2 42-72mm,0,10837383,1999,52
Clear Creek,2000,5,FL3 73-110mm,0,10837383,1999,52
Clear Creek,2000,6,FL1 leq 41mm,245423,10837383,2000,1
Clear Creek,2000,6,FL2 42-72mm,168,10837383,2000,1
Clear Creek,2000,6,FL3 73-110mm,0,10837383,2000,1
Clear Creek,2000,7,FL1 leq 41mm,499726,10837383,2000,2
Clear Creek,2000,7,FL2 42-72mm,1803,10837383,2000,2
Clear Creek,2000,7,FL3 73-110mm,0,10837383,2000,2
Clear Creek,2000,8,FL1 leq 41mm,2022505,10837383,2000,3
Clear Creek,2000,8,FL2 42-72mm,20040,10837383,2000,3
Clear Creek,2000,8,FL3 73-110mm,0,10837383,2000,3
Clear Creek,2000,9,FL1 leq 41mm,2268763,10837383,2000,4
Clear Creek,2000,9,FL2 42-72mm,12882,10837383,2000,4
Clear Creek,2000,9,FL3 73-110mm,0,10837383,2000,4
Clear Creek,2000,10,FL1 leq 41mm,1896249,10837383,2000,5
Clear Creek,2000,10,FL2 42-72mm,14465,10837383,2000,5
Clear Creek,2000,10,FL3 73-110mm,0,10837383,2000,5
Clear Creek,2000,11,FL1 leq 41mm,1453457,10837383,2000,6
