Year,SacEsc,UppSacEsc,SanJEsc,Feather,American,Moke,,
2000,326339,178481,47330,147858,112012,7423,,
2001,442803,215896,34694,226907,147134,8035,,
2002,700831,551110,37769,149721,134069,10753,,
2003,390858,257620,21505,133238,178629,10239,,
2004,237747,147010,23471,90737,125630,11944,,
2005,331868,242673,20797,89195,85028,15969,,
2006,249221,150652,10465,98569,33268,5871,,
2007,79622,48939,2829,30683,14717,1521,,
2008,63400,49039,2145,14361,5746,412,,
2009,39487,20042,3556,19445,10086,2233,,
2010,129048,49786,10358,79262,23783,7195,,
2011,166135,77302,22793,88833,38306,18596,,
2012,272272,158795,20962,113477,47585,12091,,
2013,359770,166059,20947,193711,67304,12252,,
2014,203102,106867,17717,96235,34818,12113,,
2015,107643,59754,21785,47889,25553,12879,,
2016,83282,19894,26333,63388,23700,8871,,
2017,49197,11935,32536,37262,20242,19963,,
2018,122249,44612,23584,77637,27304,17475,,
2019,155681,73165,18939,82516,38326,12870,,
2020,123050,53939,5484,69111,28720,4044,,
