Trib,Hatchery,Natural,Total_escape,Year,No_hatch_ret,Source,Hatch.flag,Run,Harvest
American River,0.325,0.675,7573,2010,2461.225,CWT,0,Fall,0
American River,,,248,2010,,CWT,0,Fall,1
American River,0.66,0.34,21320,2011,14071.2,CWT,0,Fall,0
American River,,,21411,2011,,CWT,0,Fall,1
American River,0.73,0.27,34900,2012,25477,CWT,0,Fall,0
American River,,,23563,2012,,CWT,0,Fall,1
American River,0.65,0.35,4259,2013,2768.35,CWT,0,Fall,0
American River,0.63,0.37,9967,2013,6279.21,CWT,0,Fall,1
American River,0.64,0.36,24503,2014,15681.92,CWT,0,Fall,0
American River,0.83,0.17,12520,2014,10391.6,CWT,0,Fall,1
American River,0.65,0.35,13793,2015,8965.45,CWT,0,Fall,0
American River,0.75,0.25,6630,2015,4972.5,CWT,0,Fall,1
American River,0.84,0.16,10484,2016,8806.56,CWT,0,Fall,0
American River,0.88,0.13,17859,2016,15715.92,CWT,0,Fall,1
American River,0.77,0.23,7234,2017,5570.18,CWT,0,Fall,0
American River,0.86,0.14,14521,2017,12488.06,CWT,0,Fall,1
American River,0.76,0.24,21092,2018,16029.92,CWT,0,Fall,0
American River,1,0,1046,2018,1046,CWT,0,Fall,1
American River,0.94,0.06,27030,2019,25408.2,CWT,0,Fall,0
American River,0.64,0.36,1828,2019,1169.92,CWT,0,Fall,1
Antelope Creek,0.2,0.8,50,2010,10,Chinookprod,0,Fall,0
Antelope Creek,0.05,0.95,17,2010,0.85,Grandtab but % hatcheryis baseline assumption because CWT did not sample,0,Spring,0
Antelope Creek,0.05,0.95,6,2011,0.3,Grandtab but % hatcheryis baseline assumption because CWT did not sample,0,Spring,0
Antelope Creek,0.05,0.95,1,2012,0.05,Grandtab but % hatcheryis baseline assumption because CWT did not sample,0,Spring,0
Battle Creek,0.9,0.1,6632,2010,5968.8,Chinookprod,0,Fall,0
Battle Creek,0.05,0.95,172,2010,8.6,Grandtab but % hatcheryis baseline assumption because CWT did not sample,0,Spring,0
Battle Creek,0.89,0.11,12867,2011,11451.63,CWT,0,Fall,0
Battle Creek,0.05,0.95,157,2011,7.85,Grandtab but % hatcheryis baseline assumption because CWT did not sample,0,Spring,0
Battle Creek,0.91,0.09,31360,2012,28537.6,CWT,0,Fall,0
Battle Creek,0.05,0.95,799,2012,39.95,Grandtab but % hatcheryis baseline assumption because CWT did not sample,0,Spring,0
